"prisma_model","actual_table_name","column_name","data_type","nullable","candidate_url_field","candidate_public_content_field","notes"
"NewsArticle","news_articles","related_article_ids","ARRAY","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","related_tool_ids","ARRAY","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","related_tutorial_ids","ARRAY","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","english_title","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","english_subtitle","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","english_description","text","YES","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","english_summary","text","YES","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","english_content","text","YES","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","english_keywords","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","english_seo_title","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","english_seo_description","text","YES","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","english_seo_keywords","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","english_key_takeaways","ARRAY","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","english_impact_notes","text","YES","NO","YES","Production information_schema observation."
"NewsArticle","news_articles","english_conclusion","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","source_channel","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","imported_at","timestamp without time zone","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","import_batch_id","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","raw_import_payload","jsonb","YES","NO","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","id","text","NO","NO","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","article_id","text","NO","NO","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","title","text","NO","NO","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","url","text","NO","YES","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","source_type","text","NO","NO","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","description","text","YES","YES","YES","Production information_schema observation."
"NewsExternalSource","news_external_sources","sort_order","integer","NO","NO","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"NewsExternalSource","news_external_sources","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"SiteSetting","site_settings","id","text","NO","NO","NO","Production information_schema observation."
"SiteSetting","site_settings","key","text","NO","NO","NO","Production information_schema observation."
"SiteSetting","site_settings","value","text","NO","YES","YES","Production information_schema observation."
"SiteSetting","site_settings","description","text","YES","YES","YES","Production information_schema observation."
"SiteSetting","site_settings","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"SiteSetting","site_settings","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","id","text","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","tool_id","text","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","version","text","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","title","text","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","content","text","NO","YES","YES","Production information_schema observation."
"ToolChangelog","tool_changelogs","release_date","timestamp without time zone","YES","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","status","USER-DEFINED","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","sort_order","integer","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"ToolChangelog","tool_changelogs","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","id","text","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","tool_id","text","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","question","text","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","answer","text","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","status","USER-DEFINED","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","sort_order","integer","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"ToolFaq","tool_faqs","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","id","text","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","tool_id","text","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","name","text","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","price","numeric","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","sort_order","integer","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","status","USER-DEFINED","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"ToolPriceSpec","tool_price_specs","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"Tool","tools","id","text","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","name","text","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","slug","text","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","type","USER-DEFINED","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","category_id","text","YES","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","short_description","text","NO","YES","YES","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","content","text","NO","YES","YES","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","cover_image","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","screenshots","ARRAY","YES","YES","YES","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","version","text","YES","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","system_requirement","text","YES","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","is_vip_required","boolean","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","online_url","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","download_file_id","text","YES","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","download_count","integer","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","usage_count","integer","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","status","USER-DEFINED","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","sort_order","integer","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","created_at","timestamp without time zone","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","updated_at","timestamp without time zone","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","download_price","numeric","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","is_download_paid","boolean","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","is_download_link_vip_only","boolean","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","english_name","text","YES","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","is_home_recommended","boolean","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_url","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_title","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_description","text","YES","YES","YES","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_url_2","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_title_2","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_description_2","text","YES","YES","YES","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_url_3","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_title_3","text","YES","YES","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","video_description_3","text","YES","YES","YES","AI Skill pages use Tool rows with type=ai_skill."
"Tool","tools","supported_agents","ARRAY","NO","NO","NO","AI Skill pages use Tool rows with type=ai_skill."
"Tutorial","tutorials","id","text","NO","NO","NO","Production information_schema observation."
"Tutorial","tutorials","tool_id","text","NO","NO","NO","Production information_schema observation."
"Tutorial","tutorials","title","text","NO","NO","NO","Production information_schema observation."
"Tutorial","tutorials","content","text","NO","YES","YES","Production information_schema observation."
"Tutorial","tutorials","image_url","text","YES","YES","NO","Production information_schema observation."
"Tutorial","tutorials","video_url","text","YES","YES","NO","Production information_schema observation."
"Tutorial","tutorials","sort_order","integer","NO","NO","NO","Production information_schema observation."
"Tutorial","tutorials","status","USER-DEFINED","NO","NO","NO","Production information_schema observation."
"Tutorial","tutorials","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"Tutorial","tutorials","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"Tutorial","tutorials","notes","text","YES","NO","YES","Production information_schema observation."
"Tutorial","tutorials","common_errors","text","YES","NO","YES","Production information_schema observation."
